Resolution,Bandwidth,Frames,Latency,RTT,Cubic
426x240 321 Kbps,302 Kbps,"229 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"236 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"242 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"242 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"248 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"254 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"260 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"262 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"267 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"273 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"279 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"285 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"285 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"291 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"297 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"303 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"309 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"309 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"315 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"321 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"327 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"333 decoded, 0 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"339 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"344 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"349 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"354 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"359 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
426x240 321 Kbps,302 Kbps,"361 decoded, 1 dropped",4965 ms,"srtt 134 ms, rto 328 ms",cwnd 19
